122 - ( 0.75 , 1.0 , 45.0 ) - [ 21.4786570072 , 22.9023809433 , 25.3055040836 ]
123 - ( 0.75 , 1.0 , 90.0 ) - [ 20.5031290054 , 21.9434299469 , 26.2945170403 ]
124 - ( 0.75 , 1.0 , 135.0 ) - [ 19.0978031158 , 20.9829030037 , 27.2236430645 ]
125 - ( 0.75 , 1.0 , 180.0 ) - [ 20.0212349892 , 20.502352953 , 28.183314085 ]
126 - ( 0.75 , 1.0 , 225.0 ) - [ 21.0025098324 , 21.4785029888 , 28.6676380634 ]
127 - ( 0.75 , 1.0 , 270.0 ) - [ 21.9408209324 , 22.4393589497 , 27.7051250935 ]
128 - ( 0.75 , 1.0 , 315.0 ) - [ 23.3814508915 , 23.3852260113 , 26.7425849438 ]
129 - ( 1.0 , 0.25 , 0.0 ) - [ 22.4367489815 , 24.3432798386 , 24.8256409168 ]
130 - ( 1.0 , 0.25 , 45.0 ) - [ 21.4633529186 , 25.3027360439 , 23.8633949757 ]
131 - ( 1.0 , 0.25 , 90.0 ) - [ 20.5027680397 , 23.8627641201 , 23.3930459023 ]
132 - ( 1.0 , 0.25 , 135.0 ) - [ 19.5479030609 , 22.9135839939 , 24.3625299931 ]
133 - ( 1.0 , 0.25 , 180.0 ) - [ 18.1326639652 , 21.9543478489 , 25.3233258724 ]
134 - ( 1.0 , 0.25 , 225.0 ) - [ 19.0831780434 , 20.9833581448 , 26.2623438835 ]
135 - ( 1.0 , 0.25 , 270.0 ) - [ 20.0415098667 , 22.4296469688 , 26.7451310158 ]
136 - ( 1.0 , 0.25 , 315.0 ) - [ 20.9883267879 , 23.3824601173 , 25.7824192047 ]
137 - ( 1.0 , 0.5 , 0.0 ) - [ 21.4612350464 , 24.3435871601 , 23.8627171516 ]
138 - ( 1.0 , 0.5 , 45.0 ) - [ 20.5004730225 , 24.8230500221 , 22.9016349316 ]
139 - ( 1.0 , 0.5 , 90.0 ) - [ 19.5465488434 , 23.8842368126 , 24.3439879417 ]
140 - ( 1.0 , 0.5 , 135.0 ) - [ 18.5916359425 , 22.9029829502 , 25.324411869 ]
141 - ( 1.0 , 0.5 , 180.0 ) - [ 19.0920288563 , 21.9421379566 , 26.2626228333 ]
142 - ( 1.0 , 0.5 , 225.0 ) - [ 20.0427601337 , 21.4643769264 , 27.2266879082 ]
143 - ( 1.0 , 0.5 , 270.0 ) - [ 20.9904148579 , 22.4226551056 , 25.7815871239 ]
144 - ( 1.0 , 0.5 , 315.0 ) - [ 21.942510128 , 23.3890259266 , 24.843708992 ]
145 - ( 1.0 , 0.75 , 0.0 ) - [ 22.4250929356 , 25.3025319576 , 25.7819831371 ]
146 - ( 1.0 , 0.75 , 45.0 ) - [ 21.4717180729 , 23.862705946 , 24.8277959824 ]
147 - ( 1.0 , 0.75 , 90.0 ) - [ 20.5038020611 , 22.9107351303 , 26.2960631847 ]
148 - ( 1.0 , 0.75 , 135.0 ) - [ 19.5429589748 , 21.9446351528 , 27.242857933 ]
149 - ( 1.0 , 0.75 , 180.0 ) - [ 20.0414869785 , 20.9822039604 , 28.1830918789 ]
150 - ( 1.0 , 0.75 , 225.0 ) - [ 21.018404007 , 22.4216740131 , 29.1441690922 ]
151 - ( 1.0 , 0.75 , 270.0 ) - [ 21.9427318573 , 23.3823750019 , 27.717744112 ]
152 - ( 1.0 , 0.75 , 315.0 ) - [ 22.9079110622 , 24.3452949524 , 26.7435779572 ]
153 - ( 1.0 , 1.0 , 0.0 ) - [ 24.3609449863 , 26.2622110844 , 28.672205925 ]
154 - ( 1.0 , 1.0 , 45.0 ) - [ 23.3820641041 , 24.8237888813 , 27.2224919796 ]
155 - ( 1.0 , 1.0 , 90.0 ) - [ 22.4222099781 , 23.8675928116 , 29.1636939049 ]
156 - ( 1.0 , 1.0 , 135.0 ) - [ 20.5241789818 , 22.9053599834 , 30.1206331253 ]
157 - ( 1.0 , 1.0 , 180.0 ) - [ 21.9424901009 , 21.4613060951 , 31.0628910065 ]
158 - ( 1.0 , 1.0 , 225.0 ) - [ 22.9211001396 , 23.3829860687 , 31.5448241234 ]
159 - ( 1.0 , 1.0 , 270.0 ) - [ 23.8653109074 , 24.3450448513 , 30.5834980011 ]
160 - ( 1.0 , 1.0 , 315.0 ) - [ 25.3203661442 , 25.3042509556 , 29.6230771542 ]
